Route,Direction,StopOrder,StopID,PercentDone,ID
14C,OB,20,668,51.87,678
14C,OB,21,614,54.63,679
14C,OB,22,615,57.13,680
14C,OB,23,616,60.44,681
14C,OB,24,617,63.33,682
14C,OB,25,618,65.82,683
14C,OB,26,619,69.6,684
14C,OB,27,675,70.78,685
14C,OB,28,4415,73.71,686
14C,OB,29,301,86.25,687
14C,OB,30,336,101.29,688
14,OB,1,248,0,689
14,OB,2,249,1.13,690
14,OB,3,250,2.46,691
14,OB,4,251,3.21,692
14,OB,5,252,4.53,693
14,OB,6,255,5.82,694
14,OB,7,234,7.47,695
14,OB,8,235,8.58,696
14,OB,9,236,9.09,697
14,OB,10,1190,11.21,698
14,OB,11,1191,12.06,699
14,OB,12,1192,12.68,700
14,OB,13,1193,13.47,701
14,OB,14,1194,13.88,702
14,OB,15,1195,14.98,703
14,OB,16,664,16.96,704
14,OB,17,665,18.03,705
14,OB,18,666,18.81,706
14,OB,19,667,19.62,707
14,OB,20,668,21.01,708
14,OB,21,614,22.67,709
14,OB,22,615,23.69,710
14,OB,23,616,24.98,711
14,OB,24,617,26.27,712
14,OB,25,618,27.37,713
14,OB,26,619,28.88,714
14,OB,27,675,29.47,715
14,OB,28,4415,30.92,716
14,OB,29,301,35.63,717
14,OB,30,336,40.92,718
14,OB,31,7581,45.99,719
14,OB,32,1283,48.66,720
14,OB,33,7579,51.21,721
14,OB,34,1285,54.11,722
14,OB,35,1016,57.18,723
14,OB,36,1017,58.72,724
14,OB,37,1018,59.65,725
14,OB,38,1019,60.31,726
14,OB,39,1020,61.1,727
14,OB,40,1076,62.28,728
14,OB,41,1077,63.72,729
14,OB,42,1078,64.85,730
14,OB,43,1079,65.98,731
14,OB,44,1080,66.68,732
14,OB,45,1081,67.72,733
14,OB,46,2914,69.2,734
14,OB,47,2989,70.67,735
14,OB,48,2990,71.77,736
14,OB,49,1042,72.92,737
14,OB,50,1043,74.8,738
14,OB,51,1044,75.56,739
14,OB,52,1045,75.96,740
14,OB,53,4710,76.81,741
14,OB,54,1046,78.43,742
14,OB,55,1047,79.82,743
14,OB,56,1048,81.17,744
14,OB,57,1049,82.01,745
14,OB,58,4333,83.04,746
14,OB,59,4334,84.07,747
14,OB,60,4712,84.66,748
14,OB,61,2853,85.86,749
14,OB,62,2854,86.61,750
14,OB,63,2855,87.3,751
14,OB,64,2856,88.02,752
14,OB,65,2857,89.12,753
14,OB,66,2858,90.56,754
14,OB,67,2859,91.54,755
14,OB,68,2860,92.15,756
14,OB,69,2861,92.93,757
14,OB,70,2862,93.98,758
14,OB,71,2863,94.11,759
14,OB,72,2864,94.76,760
14,OB,73,4486,95.79,761
14,OB,74,2865,97.77,762
14,OB,75,2866,98.62,763
14,OB,76,6044,100,764
150,OB,1,4495,-0.01,765
150,OB,2,1279,8.4,766
150,OB,3,1934,13.9,767
150,OB,4,2310,20.27,768
150,OB,5,2311,25.97,769
150,OB,6,5025,31.46,770
150,OB,7,4854,36.37,771
150,OB,8,1438,38.32,772
150,OB,9,4855,40.03,773
150,OB,10,1439,41.78,774
150,OB,11,1440,44.88,775
150,OB,12,1386,48.47,776
150,OB,13,1387,49.7,777
150,OB,14,1388,51.51,778
150,OB,15,1389,53.78,779
150,OB,16,3355,55.87,780
150,OB,17,3356,57.81,781
150,OB,18,1441,59.29,782
150,OB,19,1442,61.1,783
150,OB,20,7414,63.32,784
150,OB,21,1396,64.9,785
150,OB,22,2317,68.04,786
150,OB,23,2318,69.68,787
150,OB,24,2319,72.24,788
150,OB,25,2320,77.87,789
150,OB,26,2321,80.14,790
150,OB,27,2322,82.34,791
150,OB,28,6163,83.03,792
150,OB,29,1095,85.87,793
150,OB,30,1096,87.25,794
150,OB,31,1097,89.22,795
150,OB,32,1099,90.62,796
150,OB,33,6132,94.94,797
150,OB,34,4861,96.79,798
150,OB,35,4862,100.01,799
151,OB,1,7514,0,800
151,OB,2,2279,0.92,801
151,OB,3,6251,4.82,802
151,OB,4,5140,9.07,803
151,OB,5,1500,11.41,804
151,OB,6,302,16.92,805
151,OB,7,301,19.29,806
151,OB,8,4495,21.4,807
151,OB,9,4522,26.62,808
151,OB,10,1934,30.39,809
151,OB,11,2310,34.26,810
151,OB,12,2311,37.85,811
151,OB,13,2312,40.74,812
151,OB,14,2313,41.72,813
151,OB,15,2314,42.86,814
151,OB,16,2315,44.06,815
